HDR,ROLLING SYSTEM DEMAND
VD,20190301000000,27941
VD,20190301000500,28021
VD,20190301001000,28031
VD,20190301001500,28044
VD,20190301002000,27974
VD,20190301002500,27811
VD,20190301003000,27854
VD,20190301003500,28065
VD,20190301004000,28145
VD,20190301004500,28218
VD,20190301005000,28208
VD,20190301005500,28199
VD,20190301010000,28111
VD,20190301010500,28046
VD,20190301011000,28069
VD,20190301011500,28167
VD,20190301012000,28166
VD,20190301012500,28209
VD,20190301013000,28187
VD,20190301013500,27962
VD,20190301014000,27774
VD,20190301014500,27659
VD,20190301015000,27646
VD,20190301015500,27552
VD,20190301020000,27525
VD,20190301020500,27486
VD,20190301021000,27410
VD,20190301021500,27360
VD,20190301022000,27429
VD,20190301022500,27413
VD,20190301023000,27389
VD,20190301023500,27323
VD,20190301024000,27318
VD,20190301024500,27322
VD,20190301025000,27227
VD,20190301025500,27044
VD,20190301030000,26963
VD,20190301030500,26984
VD,20190301031000,26938
VD,20190301031500,26951
VD,20190301032000,27068
VD,20190301032500,27130
VD,20190301033000,27112
VD,20190301033500,27131
VD,20190301034000,27138
VD,20190301034500,27059
VD,20190301035000,26736
VD,20190301035500,26595
VD,20190301040000,26508
VD,20190301040500,26472
VD,20190301041000,26390
VD,20190301041500,26505
VD,20190301042000,26635
VD,20190301042500,26879
VD,20190301043000,26929
VD,20190301043500,26824
VD,20190301044000,26766
VD,20190301044500,26757
VD,20190301045000,26825
VD,20190301045500,26911
VD,20190301050000,27036
VD,20190301050500,27258
VD,20190301051000,27488
VD,20190301051500,27614
VD,20190301052000,27728
VD,20190301052500,27849
VD,20190301053000,28013
VD,20190301053500,28223
VD,20190301054000,28378
VD,20190301054500,28431
VD,20190301055000,28634
VD,20190301055500,28916
VD,20190301060000,29161
VD,20190301060500,29835
VD,20190301061000,30291
VD,20190301061500,30674
VD,20190301062000,31308
VD,20190301062500,31706
VD,20190301063000,32065
VD,20190301063500,32450
VD,20190301064000,33147
VD,20190301064500,33479
VD,20190301065000,33893
VD,20190301065500,34312
VD,20190301070000,34834
VD,20190301070500,35586
VD,20190301071000,36280
VD,20190301071500,36853
VD,20190301072000,37275
VD,20190301072500,37473
VD,20190301073000,37700
VD,20190301073500,37768
VD,20190301074000,38065
VD,20190301074500,38326
VD,20190301075000,38435
VD,20190301075500,38654
VD,20190301080000,38830
VD,20190301080500,39008
VD,20190301081000,39181
VD,20190301081500,39340
VD,20190301082000,39320
VD,20190301082500,39216
VD,20190301083000,39212
VD,20190301083500,38943
VD,20190301084000,38864
VD,20190301084500,38999
VD,20190301085000,39130
VD,20190301085500,39182
VD,20190301090000,39354
VD,20190301090500,39536
VD,20190301091000,39735
VD,20190301091500,39757
VD,20190301092000,39834
VD,20190301092500,39864
VD,20190301093000,39878
VD,20190301093500,39905
VD,20190301094000,39953
VD,20190301094500,39872
VD,20190301095000,39882
VD,20190301095500,39877
VD,20190301100000,39884
VD,20190301100500,39779
VD,20190301101000,39773
VD,20190301101500,39725
VD,20190301102000,39705
VD,20190301102500,39642
VD,20190301103000,39432
VD,20190301103500,39414
VD,20190301104000,39476
VD,20190301104500,39504
VD,20190301105000,39438
VD,20190301105500,39307
VD,20190301110000,39250
VD,20190301110500,39228
VD,20190301111000,39120
VD,20190301111500,39080
VD,20190301112000,39069
VD,20190301112500,38971
VD,20190301113000,38687
VD,20190301113500,38717
VD,20190301114000,38746
VD,20190301114500,38819
VD,20190301115000,38802
VD,20190301115500,38780
VD,20190301120000,38727
VD,20190301120500,38715
VD,20190301121000,38740
VD,20190301121500,38735
VD,20190301122000,38733
VD,20190301122500,38682
VD,20190301123000,38652
VD,20190301123500,38583
VD,20190301124000,38479
VD,20190301124500,38302
VD,20190301125000,38257
VD,20190301125500,38248
VD,20190301130000,38235
VD,20190301130500,38281
VD,20190301131000,38258
VD,20190301131500,38208
VD,20190301132000,38004
VD,20190301132500,37947
VD,20190301133000,37942
VD,20190301133500,37997
VD,20190301134000,37975
VD,20190301134500,37962
VD,20190301135000,37896
VD,20190301135500,37775
VD,20190301140000,37650
VD,20190301140500,37547
VD,20190301141000,37625
VD,20190301141500,37628
VD,20190301142000,37569
VD,20190301142500,37511
VD,20190301143000,37478
VD,20190301143500,37423
VD,20190301144000,37264
VD,20190301144500,37256
VD,20190301145000,37329
VD,20190301145500,37224
VD,20190301150000,37147
VD,20190301150500,37210
VD,20190301151000,37366
VD,20190301151500,37345
VD,20190301152000,37282
VD,20190301152500,37333
VD,20190301153000,37414
VD,20190301153500,37520
VD,20190301154000,37750
VD,20190301154500,37699
VD,20190301155000,37747
VD,20190301155500,37906
VD,20190301160000,37890
VD,20190301160500,38190
VD,20190301161000,38264
VD,20190301161500,38403
VD,20190301162000,38553
VD,20190301162500,38663
VD,20190301163000,38800
VD,20190301163500,38991
VD,20190301164000,39253
VD,20190301164500,39268
VD,20190301165000,39479
VD,20190301165500,39651
VD,20190301170000,39823
VD,20190301170500,40091
VD,20190301171000,40086
VD,20190301171500,40221
VD,20190301172000,40372
VD,20190301172500,40600
VD,20190301173000,40749
VD,20190301173500,40918
VD,20190301174000,40983
VD,20190301174500,41055
VD,20190301175000,41243
VD,20190301175500,41453
VD,20190301180000,41499
VD,20190301180500,41702
VD,20190301181000,41819
VD,20190301181500,41772
VD,20190301182000,41752
VD,20190301182500,41677
VD,20190301183000,41724
VD,20190301183500,41763
VD,20190301184000,41751
VD,20190301184500,41675
VD,20190301185000,41648
VD,20190301185500,41432
VD,20190301190000,41229
VD,20190301190500,40987
VD,20190301191000,40849
VD,20190301191500,40590
VD,20190301192000,40250
VD,20190301192500,39899
VD,20190301193000,39820
VD,20190301193500,39910
VD,20190301194000,39859
VD,20190301194500,39604
VD,20190301195000,39281
VD,20190301195500,38898
VD,20190301200000,38682
VD,20190301200500,38645
VD,20190301201000,38564
VD,20190301201500,38289
VD,20190301202000,38018
VD,20190301202500,37880
VD,20190301203000,37704
VD,20190301203500,37713
VD,20190301204000,37341
VD,20190301204500,36986
VD,20190301205000,36703
VD,20190301205500,36437
VD,20190301210000,36080
VD,20190301210500,35765
VD,20190301211000,35432
VD,20190301211500,35061
VD,20190301212000,34757
VD,20190301212500,34449
VD,20190301213000,34041
VD,20190301213500,33543
VD,20190301214000,33222
VD,20190301214500,32905
VD,20190301215000,32681
VD,20190301215500,32459
VD,20190301220000,32179
VD,20190301220500,32016
VD,20190301221000,31780
VD,20190301221500,31459
VD,20190301222000,31041
VD,20190301222500,30807
VD,20190301223000,30584
VD,20190301223500,30538
VD,20190301224000,30314
VD,20190301224500,29985
VD,20190301225000,29745
VD,20190301225500,29447
VD,20190301230000,29160
VD,20190301230500,28900
VD,20190301231000,28701
VD,20190301231500,28479
VD,20190301232000,28267
VD,20190301232500,28031
VD,20190301233000,27929
VD,20190301233500,27941
VD,20190301234000,27785
VD,20190301234500,27647
VD,20190301235000,27505
VD,20190301235500,27291
VD,20190302000000,27185
VD,20190302000500,27366
VD,20190302001000,27468
VD,20190302001500,27425
VD,20190302002000,27371
VD,20190302002500,27244
VD,20190302003000,27198
VD,20190302003500,27425
VD,20190302004000,27444
VD,20190302004500,27344
VD,20190302005000,27314
VD,20190302005500,27108
VD,20190302010000,26958
VD,20190302010500,26988
VD,20190302011000,27024
VD,20190302011500,26817
VD,20190302012000,26577
VD,20190302012500,26415
VD,20190302013000,26284
VD,20190302013500,26155
VD,20190302014000,26102
VD,20190302014500,25919
VD,20190302015000,25691
VD,20190302015500,25475
VD,20190302020000,25518
VD,20190302020500,25752
VD,20190302021000,25867
VD,20190302021500,25844
VD,20190302022000,25833
VD,20190302022500,25820
VD,20190302023000,25645
VD,20190302023500,25621
VD,20190302024000,25577
VD,20190302024500,25510
VD,20190302025000,25505
VD,20190302025500,25341
VD,20190302030000,25044
VD,20190302030500,24829
VD,20190302031000,24746
VD,20190302031500,24608
VD,20190302032000,24617
VD,20190302032500,24669
VD,20190302033000,24700
VD,20190302033500,24755
VD,20190302034000,24480
VD,20190302034500,24386
VD,20190302035000,24340
VD,20190302035500,24286
VD,20190302040000,24264
VD,20190302040500,24342
VD,20190302041000,24466
VD,20190302041500,24553
VD,20190302042000,24564
VD,20190302042500,24500
VD,20190302043000,24525
VD,20190302043500,24570
VD,20190302044000,24674
VD,20190302044500,24676
VD,20190302045000,24598
VD,20190302045500,24577
VD,20190302050000,24678
VD,20190302050500,24830
VD,20190302051000,24993
VD,20190302051500,25089
VD,20190302052000,25007
VD,20190302052500,24962
VD,20190302053000,24972
VD,20190302053500,25039
VD,20190302054000,25073
VD,20190302054500,25015
VD,20190302055000,24891
