HDR,ROLLING SYSTEM DEMAND
VD,20180601220000,27872
VD,20180601220500,27845
VD,20180601221000,27773
VD,20180601221500,27710
VD,20180601222000,27566
VD,20180601222500,27336
VD,20180601223000,27270
VD,20180601223500,27175
VD,20180601224000,26964
VD,20180601224500,26692
VD,20180601225000,26498
VD,20180601225500,26260
VD,20180601230000,26096
VD,20180601230500,25823
VD,20180601231000,25649
VD,20180601231500,25441
VD,20180601232000,25246
VD,20180601232500,25049
VD,20180601233000,24839
VD,20180601233500,24764
VD,20180601234000,24633
VD,20180601234500,24513
VD,20180601235000,24369
VD,20180601235500,24212
VD,20180602000000,24045
VD,20180602000500,23947
VD,20180602001000,23904
VD,20180602001500,23789
VD,20180602002000,23712
VD,20180602002500,23613
VD,20180602003000,23541
VD,20180602003500,23626
VD,20180602004000,23590
VD,20180602004500,23516
VD,20180602005000,23514
VD,20180602005500,23473
VD,20180602010000,23386
VD,20180602010500,23236
VD,20180602011000,23080
VD,20180602011500,23026
VD,20180602012000,22904
VD,20180602012500,22791
VD,20180602013000,22811
VD,20180602013500,22849
VD,20180602014000,22858
VD,20180602014500,22771
VD,20180602015000,22621
VD,20180602015500,22533
VD,20180602020000,22434
VD,20180602020500,22488
VD,20180602021000,22434
VD,20180602021500,22420
VD,20180602022000,22351
VD,20180602022500,22357
VD,20180602023000,22314
VD,20180602023500,22392
VD,20180602024000,22237
VD,20180602024500,22129
VD,20180602025000,22198
VD,20180602025500,22247
VD,20180602030000,22208
VD,20180602030500,22251
VD,20180602031000,22341
VD,20180602031500,22308
VD,20180602032000,22212
VD,20180602032500,22198
VD,20180602033000,22125
VD,20180602033500,21964
VD,20180602034000,21839
VD,20180602034500,21759
VD,20180602035000,21760
VD,20180602035500,21746
VD,20180602040000,21701
VD,20180602040500,21658
VD,20180602041000,21787
VD,20180602041500,21754
VD,20180602042000,21759
VD,20180602042500,21681
VD,20180602043000,21630
VD,20180602043500,21643
VD,20180602044000,21804
VD,20180602044500,21907
VD,20180602045000,21906
VD,20180602045500,21956
VD,20180602050000,22008
VD,20180602050500,22145
VD,20180602051000,22345
VD,20180602051500,22471
VD,20180602052000,22581
VD,20180602052500,22724
VD,20180602053000,22849
VD,20180602053500,23024
VD,20180602054000,23163
VD,20180602054500,23276
VD,20180602055000,23178
VD,20180602055500,23183
VD,20180602060000,23286
VD,20180602060500,23413
VD,20180602061000,23644
VD,20180602061500,23726
VD,20180602062000,23840
VD,20180602062500,24058
VD,20180602063000,24264
VD,20180602063500,24494
VD,20180602064000,24671
VD,20180602064500,24850
VD,20180602065000,25097
VD,20180602065500,25261
VD,20180602070000,25599
VD,20180602070500,25934
VD,20180602071000,26165
VD,20180602071500,26390
VD,20180602072000,26563
VD,20180602072500,26760
VD,20180602073000,26901
VD,20180602073500,27012
VD,20180602074000,27273
VD,20180602074500,27336
VD,20180602075000,27420
VD,20180602075500,27610
VD,20180602080000,27711
VD,20180602080500,27843
VD,20180602081000,27997
VD,20180602081500,27933
VD,20180602082000,27948
VD,20180602082500,27944
VD,20180602083000,28014
VD,20180602083500,28025
VD,20180602084000,27955
VD,20180602084500,27884
VD,20180602085000,27869
VD,20180602085500,27874
VD,20180602090000,27876
VD,20180602090500,27889
VD,20180602091000,27946
VD,20180602091500,27974
VD,20180602092000,27979
VD,20180602092500,27903
VD,20180602093000,27892
VD,20180602093500,27967
VD,20180602094000,27973
VD,20180602094500,27944
VD,20180602095000,27960
VD,20180602095500,27962
VD,20180602100000,27855
VD,20180602100500,27901
VD,20180602101000,27993
VD,20180602101500,27949
VD,20180602102000,27889
VD,20180602102500,28033
